id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF320	4	0.039009	0.07576	0.922085	111	1	0.051472	0.073177	0.1271	0.948912	168	2	0.051472
RFX2	4	0.36099	0.37772	0.996523	504	1	-0.012381	0.073725	0.12784	0.948912	169	1	-0.012381
KLRK1	4	0.9442	0.94417	0.996523	1270	0	0.078701	0.074419	0.12884	0.948912	170	2	0.078701
PLAG1	4	0.026748	0.057599	0.875764	87	2	0.016482	0.074424	0.12885	0.948912	171	1	0.016482
HOXC9	4	0.046886	0.087735	0.947965	124	1	0.27121	0.074627	0.12911	0.948912	172	2	0.27121
SOX9	4	0.67548	0.67591	0.996523	900	0	0.10303	0.075122	0.12992	0.948912	173	2	0.10303
CXCL13	4	0.81817	0.82086	0.996523	1089	0	0.11297	0.075252	0.13012	0.948912	174	2	0.11297
THRA	4	0.56263	0.56387	0.996523	744	0	0.10304	0.076508	0.13205	0.948912	175	2	0.10304
ZIC1	4	0.8341	0.83615	0.996523	1108	0	-0.023379	0.076517	0.13207	0.948912	176	1	-0.023379
ZNF564	4	0.88689	0.88796	0.996523	1176	0	0.015899	0.077214	0.13294	0.948912	177	1	0.015899
ZNF285	4	0.9042	0.90456	0.996523	1202	0	0.18734	0.078607	0.13503	0.948912	178	1	0.18734
IL12B	4	0.98294	0.98305	0.996523	1330	0	0.20802	0.079302	0.13597	0.948912	179	1	0.20802
TCF23	4	0.97402	0.97399	0.996523	1320	0	0.16774	0.079998	0.1369	0.948912	180	2	0.16774
ZBTB48	4	0.76618	0.76716	0.996523	1019	0	0.12009	0.080323	0.13729	0.948912	181	2	0.12009
NFKB2	4	0.76053	0.76132	0.996523	1013	0	0.05773	0.080693	0.13789	0.948912	182	1	0.05773
IL23R	4	0.66059	0.66106	0.996523	878	0	0.15022	0.080967	0.13821	0.948912	183	2	0.15022
IL24	4	0.37098	0.38597	0.996523	512	1	0.045852	0.081387	0.13881	0.948912	184	1	0.045852
ZNF669	4	0.69232	0.69271	0.996523	920	0	0.08156	0.081612	0.13905	0.948912	185	2	0.08156
PLAGL2	4	0.11394	0.18441	0.959361	259	2	-0.094436	0.082082	0.13972	0.948912	186	1	-0.094436
BCL6B	4	0.9165	0.91683	0.996523	1221	0	0.10901	0.082691	0.14062	0.948912	187	2	0.10901
ZNF860	4	0.11494	0.18576	0.959361	261	1	0.034319	0.082775	0.14075	0.948912	188	1	0.034319
PROX1	4	0.70199	0.70256	0.996523	932	0	-0.015276	0.083469	0.14162	0.948912	189	1	-0.015276
NFIC	4	0.73948	0.73998	0.996523	979	0	0.13866	0.084854	0.14351	0.948912	190	1	0.13866
ATF6	4	0.54115	0.54184	0.996523	714	0	0.070455	0.08693	0.14629	0.948912	191	1	0.070455
DMRT1	4	0.27788	0.31253	0.996523	417	1	0.10194	0.087064	0.14654	0.948912	192	2	0.10194
NKX6-1	4	0.97218	0.97226	0.996523	1313	0	0.14199	0.087949	0.14782	0.948912	193	2	0.14199
NFKB1	4	0.46318	0.46654	0.996523	614	1	0.057826	0.088312	0.14831	0.948912	194	2	0.057826
ZNF85	4	0.14099	0.21643	0.978542	297	1	0.0023783	0.089002	0.1493	0.948912	195	1	0.0023783
FOXP2	4	0.73459	0.73521	0.996523	973	0	0.03027	0.08906	0.14939	0.948912	196	2	0.03027
ZNF329	4	0.7488	0.74969	0.996523	994	0	0.13668	0.089283	0.14967	0.948912	197	2	0.13668
ZNF793	4	0.16322	0.23122	0.981867	315	1	0.082702	0.089692	0.15031	0.948912	198	1	0.082702
ZFY	4	0.062575	0.11092	0.954076	153	2	-0.0017205	0.090381	0.15125	0.948912	199	1	-0.0017205
ZNF846	4	0.71404	0.7148	0.996523	948	0	0.080535	0.090624	0.15152	0.948912	200	2	0.080535
CDX2	4	0.28884	0.32101	0.996523	431	1	0.019	0.091523	0.15292	0.948912	201	2	0.019
LIN28A	4	0.70378	0.70428	0.996523	935	0	0.091821	0.091759	0.15327	0.948912	202	1	0.091821
RELB	4	0.077214	0.13197	0.954076	183	1	0.0032539	0.091973	0.15351	0.948912	203	2	0.0032539
ARID5A	4	0.65729	0.6579	0.996523	871	0	-0.009034	0.092448	0.15421	0.948912	204	1	-0.009034
ZNF566	4	0.96005	0.9602	0.996523	1293	0	0.037182	0.093136	0.15508	0.948912	205	1	0.037182
HOXB2	4	0.59399	0.5948	0.996523	780	0	0.16064	0.09333	0.15528	0.948912	206	2	0.16064
NFYC	4	0.0093677	0.025009	0.811776	41	2	-0.18902	0.093823	0.15599	0.948912	207	1	-0.18902
ZNF311	4	0.8117	0.81416	0.996523	1081	0	0.067208	0.094239	0.15646	0.948912	208	2	0.067208
ZNF585A	4	0.068093	0.11903	0.954076	166	2	-0.018808	0.094466	0.15678	0.948912	209	2	-0.018808
SIX1	4	0.82687	0.82904	0.996523	1096	0	0.080839	0.09451	0.15684	0.948912	210	1	0.080839
CD1D	4	0.015085	0.038736	0.872195	60	1	0.074927	0.095197	0.15799	0.948912	211	1	0.074927
HELT	4	0.88588	0.88697	0.996523	1174	0	0.097888	0.095608	0.15846	0.948912	212	2	0.097888
ZNF649	4	0.8613	0.86249	0.996523	1144	0	0.022729	0.095883	0.15885	0.948912	213	1	0.022729
ZFP69B	4	0.95441	0.95459	0.996523	1287	0	0.097103	0.096295	0.15946	0.948912	214	2	0.097103
CREB3L1	4	0.36837	0.38374	0.996523	510	1	0.18091	0.097255	0.16093	0.948912	215	2	0.18091
ZNF708	4	0.73731	0.73781	0.996523	977	0	0.12091	0.097445	0.16123	0.948912	216	2	0.12091
ZNF169	4	0.79934	0.80124	0.996523	1068	0	0.043975	0.097676	0.16161	0.948912	217	2	0.043975
ZNF317	4	0.54608	0.54657	0.996523	722	0	0.070697	0.097906	0.16192	0.948912	218	2	0.070697
IL21	4	0.67484	0.67516	0.996523	898	0	0.0041232	0.09794	0.16199	0.948912	219	1	0.0041232
